DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-07-01,AFTERNOON,157,48,0,broadway                        ,unspecified,passenger vehicle
2012-07-01,EVENING,81,21,0,tompkins avenue                 ,unspecified,passenger vehicle
2012-07-01,MORNING,100,21,0,eastern parkway                 ,unspecified,passenger vehicle
2012-07-01,SMALL HOURS,77,38,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-02,AFTERNOON,180,46,1,broadway                        ,unspecified,passenger vehicle
2012-07-02,EVENING,89,36,0,broadway                        ,unspecified,passenger vehicle
2012-07-02,MORNING,123,29,0,broadway                        ,unspecified,passenger vehicle
2012-07-02,SMALL HOURS,45,20,0,pennsylvania avenue             ,unspecified,passenger vehicle
2012-07-03,AFTERNOON,237,72,0,woodhaven boulevard             ,unspecified,passenger vehicle
2012-07-03,EVENING,111,34,1,varick street                   ,unspecified,passenger vehicle
2012-07-03,MORNING,156,47,0,3 avenue                        ,unspecified,passenger vehicle
2012-07-03,SMALL HOURS,38,12,0,west 42 street                  ,unspecified,passenger vehicle
2012-07-04,AFTERNOON,124,46,0,utica avenue                    ,unspecified,passenger vehicle
2012-07-04,EVENING,92,29,0,11 avenue                       ,unspecified,passenger vehicle
2012-07-04,MORNING,59,21,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-04,SMALL HOURS,43,13,0,york avenue                     ,unspecified,passenger vehicle
2012-07-05,AFTERNOON,173,36,0,broadway                        ,unspecified,passenger vehicle
2012-07-05,EVENING,84,27,0,92 street                       ,unspecified,passenger vehicle
2012-07-05,MORNING,155,32,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-05,SMALL HOURS,54,15,1,davenport court                 ,unspecified,passenger vehicle
2012-07-06,AFTERNOON,195,59,0,woodhaven boulevard             ,unspecified,passenger vehicle
2012-07-06,EVENING,112,33,0,linden boulevard                ,unspecified,passenger vehicle
2012-07-06,MORNING,152,47,0,queens boulevard                ,unspecified,passenger vehicle
2012-07-06,SMALL HOURS,36,10,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-07,AFTERNOON,139,34,0,westchester avenue              ,unspecified,passenger vehicle
2012-07-07,EVENING,78,34,0,69 street                       ,unspecified,passenger vehicle
2012-07-07,MORNING,101,20,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-07,SMALL HOURS,58,18,0,east tremont avenue             ,unspecified,passenger vehicle
2012-07-08,AFTERNOON,120,35,0,hylan boulevard                 ,unspecified,passenger vehicle
2012-07-08,EVENING,70,18,1,webster avenue                  ,unspecified,passenger vehicle
2012-07-08,MORNING,64,17,0,albany avenue                   ,unspecified,passenger vehicle
2012-07-08,SMALL HOURS,78,25,0,5 avenue                        ,unspecified,passenger vehicle
2012-07-09,AFTERNOON,177,42,0,flushing avenue                 ,unspecified,passenger vehicle
2012-07-09,EVENING,75,34,0,broadway                        ,unspecified,passenger vehicle
2012-07-09,MORNING,127,27,0,lexington avenue                ,unspecified,passenger vehicle
2012-07-09,SMALL HOURS,25,8,0,broadway                        ,unspecified,passenger vehicle
2012-07-10,AFTERNOON,166,42,0,3 avenue                        ,unspecified,passenger vehicle
2012-07-10,EVENING,91,35,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-10,MORNING,130,30,0,3 avenue                        ,unspecified,passenger vehicle
2012-07-10,SMALL HOURS,19,3,0,6 avenue                        ,unspecified,passenger vehicle
2012-07-11,AFTERNOON,174,62,0,2 avenue                        ,unspecified,passenger vehicle
2012-07-11,EVENING,77,20,0,broadway                        ,unspecified,passenger vehicle
2012-07-11,MORNING,141,28,0,west 57 street                  ,unspecified,passenger vehicle
2012-07-11,SMALL HOURS,30,9,0,east 92 street                  ,unspecified,passenger vehicle
2012-07-12,AFTERNOON,164,51,0,west 31 street                  ,unspecified,passenger vehicle
2012-07-12,EVENING,113,31,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-12,MORNING,139,23,0,west 50 street                  ,unspecified,passenger vehicle
2012-07-12,SMALL HOURS,24,3,1,rockaway parkway                ,unspecified,passenger vehicle
2012-07-13,AFTERNOON,168,44,0,broadway                        ,unspecified,passenger vehicle
2012-07-13,EVENING,103,43,1,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-13,MORNING,135,34,0,queens boulevard                ,unspecified,passenger vehicle
